`,Replicate,IndividualID,FoodDate,Sex,PupationDate,PupalMass,PupationAge,EmergenceDate,EmergenceAge,Ultrasound,,,,,,,,,,,,,,
1 to 3,15,42,8/14/17,F,8/26/17,0.3814,12,9/5/17,22,N,,,,,,,,,,,,,,
1 to 3,24,60,10/11/17,F,10/23/17,0.3814,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,25,9,10/25/17,F,11/7/17,0.3813,14,11/17/17,23,N,,,,,,,,,,,,,,
1 to 3,12,10,8/8/17,F,8/19/17,0.3811,12,8/30/17,22,N,,,,,,,,,,,,,,
1 to 3,20,24,9/5/17,F,9/17/17,0.3803,12,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,11,24,8/11/17,F,8/23/17,0.3802,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,15,61,8/14/17,F,8/26/17,0.3802,12,9/5/17,22,N,,,,,,,,,,,,,,
1 to 3,31,30,12/10/17,F,NA,0.3802,NA,1/13/18,34,N,,,,,,,,,,,,,,
1 to 3,24,44,10/11/17,F,10/23/17,0.3801,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,16,28,8/28/17,F,NA,0.3798,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,13,6,8/14/17,F,8/24/17,0.3797,12,9/3/17,20,N,,,,,,,,,,,,,,
1 to 3,26,13,10/30/17,F,11/12/17,0.3796,14,11/21/17,22,N,,,,,,,,,,,,,,
1 to 3,34,21,3/12/18,F,NA,0.3791,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,14,8,8/14/17,F,8/26/17,0.3788,14,9/2/17,19,N,,,,,,,,,,,,,,
1 to 3,16,47,8/28/17,F,NA,0.3787,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,18,24,8/30/17,F,NA,0.3786,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,12,25,8/14/17,F,8/27/17,0.3785,13,9/6/17,23,N,,,,,,,,,,,,,,
1 to 3,26,6,10/30/17,F,11/12/17,0.3785,14,11/21/17,22,N,,,,,,,,,,,,,,
1 to 3,24,34,10/11/17,F,10/23/17,0.3781,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,25,23,10/25/17,F,11/8/17,0.378,15,11/19/17,25,N,,,,,,,,,,,,,,
1 to 3,27,22,11/13/17,F,11/25/17,0.3777,12,12/6/17,23,N,,,,,,,,,,,,,,
1 to 3,7,35,7/3/17,F,7/15/17,0.3776,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,7,25,7/3/17,F,7/15/17,0.3775,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,14,3,8/10/17,F,8/22/17,0.3773,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,24,11,10/11/17,F,10/23/17,0.3773,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,12,35,8/8/17,F,8/19/17,0.3768,12,8/30/17,22,N,,,,,,,,,,,,,,
1 to 3,27,49,11/13/17,F,11/25/17,0.3764,12,12/6/17,23,N,,,,,,,,,,,,,,
1 to 3,10,2,8/3/17,F,8/14/17,0.3763,14,NA,NA,N,,,,,,,,,,,,,,
1 to 3,10,48,8/3/17,F,8/14/17,0.3761,14,NA,NA,N,,,,,,,,,,,,,,
1 to 3,10,53,8/3/17,F,8/14/17,0.376,14,NA,NA,N,,,,,,,,,,,,,,
1 to 3,18,13,8/30/17,F,NA,0.3759,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,19,21,9/1/17,F,NA,0.3757,NA,9/24/17,23,N,,,,,,,,,,,,,,
1 to 3,16,58,8/28/17,F,NA,0.3756,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,20,32,9/5/17,F,9/17/17,0.3754,12,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,28,51,11/27/17,F,12/10/17,0.3754,13,12/22/17,25,N,,,,,,,,,,,,,,
1 to 3,19,26,9/1/17,F,NA,0.3753,NA,9/25/17,24,N,,,,,,,,,,,,,,
1 to 3,24,3,10/11/17,F,10/23/17,0.3751,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,18,4,8/30/17,F,NA,0.3748,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,12,13,8/14/17,F,8/26/17,0.3746,12,9/6/17,23,N,,,,,,,,,,,,,,
1 to 3,15,50,8/14/17,F,8/26/17,0.3744,12,9/3/17,20,N,,,,,,,,,,,,,,
1 to 3,16,36,8/28/17,F,NA,0.3741,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,16,42,8/28/17,F,NA,0.3741,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,26,11,10/30/17,F,11/12/17,0.3741,14,11/22/17,23,N,,,,,,,,,,,,,,
1 to 3,27,35,11/13/17,F,11/24/17,0.3741,11,12/6/17,23,N,,,,,,,,,,,,,,
1 to 3,10,33,8/3/17,F,8/14/17,0.3736,14,NA,NA,N,,,,,,,,,,,,,,
1 to 3,29,23,12/4/17,F,12/17/17,0.3735,13,NA,NA,N,,,,,,,,,,,,,,
1 to 3,28,73,11/27/17,F,12/12/17,0.373,15,NA,NA,N,,,,,,,,,,,,,,
1 to 3,14,28,8/14/17,F,8/26/17,0.3729,14,9/2/17,19,N,,,,,,,,,,,,,,
1 to 3,17,9,8/28/17,F,NA,0.3729,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,24,18,10/11/17,F,10/23/17,0.3729,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,26,17,10/30/17,F,11/11/17,0.3728,13,11/22/17,23,N,,,,,,,,,,,,,,
1 to 3,25,19,10/25/17,F,11/8/17,0.3725,15,11/19/17,25,N,,,,,,,,,,,,,,
1 to 3,28,66,11/27/17,F,12/13/17,0.3725,16,NA,NA,N,,,,,,,,,,,,,,
1 to 3,11,61,8/7/17,F,8/19/17,0.3722,13,8/28/17,21,N,,,,,,,,,,,,,,
1 to 3,25,10,10/25/17,F,11/8/17,0.3721,15,11/17/17,23,N,,,,,,,,,,,,,,
1 to 3,11,9,8/11/17,F,8/23/17,0.3719,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,20,12,9/5/17,F,9/18/17,0.3719,13,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,27,38,11/13/17,F,11/25/17,0.3719,12,12/6/17,23,N,,,,,,,,,,,,,,
1 to 3,14,13,8/14/17,F,8/26/17,0.3718,14,9/4/17,21,N,,,,,,,,,,,,,,
1 to 3,7,50,7/3/17,F,7/15/17,0.3716,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,14,5,8/14/17,F,8/23/17,0.3715,11,9/3/17,20,N,,,,,,,,,,,,,,
1 to 3,18,59,8/30/17,F,NA,0.3715,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,20,64,9/5/17,F,9/17/17,0.3715,12,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,21,9,9/6/17,F,9/20/17,0.3714,15,NA,NA,N,,,,,,,,,,,,,,
1 to 3,15,45,8/14/17,F,8/26/17,0.3712,12,9/6/17,23,N,,,,,,,,,,,,,,
1 to 3,25,36,10/25/17,F,11/8/17,0.3711,15,11/20/17,26,N,,,,,,,,,,,,,,
1 to 3,18,37,8/30/17,F,NA,0.371,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,26,7,10/30/17,F,11/12/17,0.371,14,11/22/17,23,N,,,,,,,,,,,,,,
1 to 3,28,26,11/27/17,F,12/10/17,0.371,13,12/22/17,25,N,,,,,,,,,,,,,,
1 to 3,15,27,8/14/17,F,8/26/17,0.3709,12,9/3/17,20,N,,,,,,,,,,,,,,
1 to 3,19,46,9/1/17,F,NA,0.3709,NA,9/23/17,22,N,,,,,,,,,,,,,,
1 to 3,6,30,6/12/17,F,NA,0.3708,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,31,57,12/11/17,F,NA,0.3708,NA,1/12/18,32,N,,,,,,,,,,,,,,
1 to 3,24,23,10/11/17,F,10/23/17,0.3706,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,31,14,12/10/17,F,NA,0.3704,NA,1/12/18,33,N,,,,,,,,,,,,,,
1 to 3,12,23,8/14/17,F,8/27/17,0.3703,13,9/7/17,24,N,,,,,,,,,,,,,,
1 to 3,13,19,8/14/17,F,8/23/17,0.3703,11,9/2/17,19,N,,,,,,,,,,,,,,
1 to 3,28,20,11/27/17,F,12/12/17,0.37,15,NA,NA,N,,,,,,,,,,,,,,
1 to 3,12,41,8/14/17,F,8/26/17,0.3699,12,9/6/17,23,N,,,,,,,,,,,,,,
1 to 3,18,15,8/30/17,F,NA,0.3697,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,29,56,12/4/17,F,12/17/17,0.3697,13,NA,NA,N,,,,,,,,,,,,,,
1 to 3,12,16,8/14/17,F,8/26/17,0.3693,12,9/5/17,22,N,,,,,,,,,,,,,,
1 to 3,15,54,8/14/17,F,8/26/17,0.3693,12,9/5/17,22,N,,,,,,,,,,,,,,
1 to 3,24,8,10/11/17,F,10/24/17,0.3692,13,NA,NA,N,,,,,,,,,,,,,,
1 to 3,29,38,12/4/17,F,12/17/17,0.3691,13,NA,NA,N,,,,,,,,,,,,,,
1 to 3,20,25,9/5/17,F,9/17/17,0.369,12,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,12,57,8/8/17,F,8/21/17,0.3687,14,DEAD,NA,N,,,,,,,,,,,,,,
1 to 3,18,18,8/30/17,F,NA,0.3687,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,1,1,5/2/17,F,5/13/17,0.3684,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,15,36,8/18/17,F,8/29/17,0.3684,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,15,32,8/14/17,F,8/27/17,0.3683,13,9/6/17,23,N,,,,,,,,,,,,,,
1 to 3,19,13,9/1/17,F,NA,0.3682,NA,9/23/17,22,N,,,,,,,,,,,,,,
1 to 3,29,9,12/4/17,F,12/16/17,0.3682,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,15,49,8/14/17,F,8/26/17,0.3681,12,9/6/17,23,N,,,,,,,,,,,,,,
1 to 3,1,4,5/2/17,F,5/13/17,0.368,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,24,26,10/11/17,F,10/23/17,0.3679,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,10,19,8/3/17,F,8/14/17,0.3678,14,NA,NA,N,,,,,,,,,,,,,,
1 to 3,1,63,5/2/17,F,5/13/17,0.3676,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,33,26,2/20/18,F,3/5/18,0.3673,13,NA,NA,N,,,,,,,,,,,,,,
1 to 3,29,55,12/4/17,F,12/16/17,0.3671,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,12,37,8/8/17,F,8/19/17,0.3669,12,8/30/17,22,N,,,,,,,,,,,,,,
1 to 3,25,18,10/25/17,F,11/8/17,0.3667,15,11/19/17,25,N,,,,,,,,,,,,,,
1 to 3,4,20,5/30/17,F,6/10/17,0.3666,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,25,28,10/25/17,F,11/8/17,0.3666,15,11/20/17,26,N,,,,,,,,,,,,,,
1 to 3,1,5,5/2/17,F,5/13/17,0.3661,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,1,11,5/2/17,F,5/13/17,0.3659,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,7,55,7/3/17,F,7/15/17,0.3659,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,11,60,8/7/17,F,8/19/17,0.3659,13,8/31/17,24,N,,,,,,,,,,,,,,
1 to 3,16,26,8/28/17,F,NA,0.3659,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,31,26,12/10/17,F,NA,0.3659,NA,1/11/18,32,N,,,,,,,,,,,,,,
1 to 3,2,2,6/14/17,F,NA,0.3656,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,12,18,8/8/17,F,8/19/17,0.3655,12,8/30/17,22,N,,,,,,,,,,,,,,
1 to 3,20,62,9/5/17,F,9/17/17,0.3655,12,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,10,5,8/3/17,F,8/14/17,0.3652,14,NA,NA,N,,,,,,,,,,,,,,
1 to 3,29,2,12/4/17,F,12/16/17,0.3651,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,16,43,8/28/17,F,NA,0.365,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,27,58,11/13/17,F,11/25/17,0.365,12,12/5/17,22,N,,,,,,,,,,,,,,
1 to 3,9,27,7/17/17,F,NA,0.3648,NA,8/6/17,20,N,,,,,,,,,,,,,,
1 to 3,24,19,10/11/17,F,10/23/17,0.3644,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,31,8,12/10/17,F,NA,0.3644,NA,1/12/18,33,N,,,,,,,,,,,,,,
1 to 3,9,67,7/18/17,F,NA,0.3642,NA,8/6/17,19,N,,,,,,,,,,,,,,
1 to 3,20,70,9/5/17,F,9/17/17,0.3641,12,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,29,53,12/4/17,F,12/17/17,0.364,13,NA,NA,N,,,,,,,,,,,,,,
1 to 3,11,21,8/11/17,F,8/23/17,0.3639,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,29,24,12/4/17,F,12/16/17,0.3639,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,31,25,12/10/17,F,NA,0.3639,NA,1/13/18,34,N,,,,,,,,,,,,,,
1 to 3,31,41,12/11/17,F,NA,0.3639,NA,1/12/18,32,N,,,,,,,,,,,,,,
1 to 3,31,1,12/10/17,F,NA,0.3638,NA,1/11/18,32,N,,,,,,,,,,,,,,
1 to 3,10,15,8/3/17,F,8/14/17,0.3635,14,NA,NA,N,,,,,,,,,,,,,,
1 to 3,10,9,8/3/17,F,8/14/17,0.3634,14,NA,NA,N,,,,,,,,,,,,,,
1 to 3,15,33,8/18/17,F,8/30/17,0.3634,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,28,34,11/27/17,F,12/12/17,0.3631,15,12/22/17,25,N,,,,,,,,,,,,,,
1 to 3,25,15,10/25/17,F,11/7/17,0.363,14,11/19/17,25,N,,,,,,,,,,,,,,
1 to 3,17,15,8/28/17,F,NA,0.3628,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,26,20,10/30/17,F,11/12/17,0.3628,14,11/21/17,22,N,,,,,,,,,,,,,,
1 to 3,15,55,8/14/17,F,8/26/17,0.3627,12,9/5/17,22,N,,,,,,,,,,,,,,
1 to 3,16,61,8/28/17,F,NA,0.3627,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,101,35,6/26/19,F,7/7/19,0.3626,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,9,8,7/17/17,F,NA,0.3624,NA,8/5/17,19,N,,,,,,,,,,,,,,
1 to 3,9,56,7/17/17,F,NA,0.3624,NA,8/6/17,20,N,,,,,,,,,,,,,,
1 to 3,9,18,7/17/17,F,NA,0.3617,NA,8/6/17,20,N,,,,,,,,,,,,,,
1 to 3,9,22,7/17/17,F,NA,0.3615,NA,8/6/17,20,N,,,,,,,,,,,,,,
1 to 3,1,34,5/2/17,F,5/13/17,0.3613,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,28,31,11/27/17,F,12/11/17,0.3613,14,12/22/17,25,N,,,,,,,,,,,,,,
1 to 3,1,37,5/2/17,F,5/13/17,0.3612,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,7,33,7/3/17,F,7/15/17,0.3612,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,34,14,3/12/18,F,NA,0.361,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,11,13,8/7/17,F,8/19/17,0.3609,13,8/28/17,21,N,,,,,,,,,,,,,,
1 to 3,12,6,8/8/17,F,8/20/17,0.3609,13,8/31/17,23,N,,,,,,,,,,,,,,
1 to 3,15,18,8/18/17,F,8/29/17,0.3609,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,26,26,10/30/17,F,11/12/17,0.3608,14,11/21/17,22,N,,,,,,,,,,,,,,
1 to 3,15,1,8/14/17,F,8/26/17,0.3607,12,9/4/17,21,N,,,,,,,,,,,,,,
1 to 3,9,12,7/17/17,F,NA,0.3605,NA,8/6/17,20,N,,,,,,,,,,,,,,
1 to 3,34,12,3/12/18,F,NA,0.3605,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,24,27,10/11/17,F,10/23/17,0.3602,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,4,21,5/30/17,F,6/10/17,0.3601,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,12,50,8/8/17,F,8/21/17,0.36,14,8/31/17,23,N,,,,,,,,,,,,,,
1 to 3,31,7,12/10/17,F,NA,0.36,NA,1/11/18,32,N,,,,,,,,,,,,,,
1 to 3,9,64,7/17/17,F,NA,0.3599,NA,8/6/17,20,N,,,,,,,,,,,,,,
1 to 3,9,45,7/17/17,F,NA,0.3595,NA,8/6/17,20,N,,,,,,,,,,,,,,
1 to 3,34,5,3/12/18,F,NA,0.3595,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,20,15,9/5/17,F,9/17/17,0.3593,12,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,31,15,12/10/17,F,NA,0.3593,NA,1/13/18,34,N,,,,,,,,,,,,,,
1 to 3,26,42,10/30/17,F,11/12/17,0.3589,14,11/21/17,22,N,,,,,,,,,,,,,,
1 to 3,31,49,12/11/17,F,NA,0.3588,NA,1/12/18,32,N,,,,,,,,,,,,,,
1 to 3,28,54,11/27/17,F,12/11/17,0.3583,14,NA,NA,N,,,,,,,,,,,,,,
1 to 3,27,59,11/13/17,F,11/25/17,0.3577,12,12/5/17,22,N,,,,,,,,,,,,,,
1 to 3,10,37,8/3/17,F,8/14/17,0.3574,14,NA,NA,N,,,,,,,,,,,,,,
1 to 3,9,52,7/17/17,F,NA,0.3572,NA,8/6/17,20,N,,,,,,,,,,,,,,
1 to 3,20,7,9/5/17,F,9/19/17,0.3571,14,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,22,8,9/27/17,F,NA,0.3567,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,34,13,3/12/18,F,NA,0.3567,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,12,44,8/14/17,F,8/26/17,0.3566,12,9/6/17,23,N,,,,,,,,,,,,,,
1 to 3,28,24,11/27/17,F,12/11/17,0.3562,14,12/22/17,25,N,,,,,,,,,,,,,,
1 to 3,28,48,11/27/17,F,12/11/17,0.3562,14,12/22/17,25,N,,,,,,,,,,,,,,
1 to 3,101,34,6/26/19,F,7/7/19,0.3562,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,14,6,8/14/17,F,8/26/17,0.356,14,9/2/17,19,N,,,,,,,,,,,,,,
1 to 3,19,33,9/1/17,F,NA,0.356,NA,9/24/17,23,N,,,,,,,,,,,,,,
1 to 3,24,10,10/11/17,F,10/23/17,0.356,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,7,14,7/3/17,F,7/15/17,0.3559,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,14,86,8/10/17,F,8/22/17,0.3558,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,14,3,8/14/17,F,8/26/17,0.3557,14,9/2/17,19,N,,,,,,,,,,,,,,
1 to 3,10,14,8/3/17,F,8/14/17,0.3556,14,NA,NA,N,,,,,,,,,,,,,,
1 to 3,7,54,7/3/17,F,7/15/17,0.3555,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,20,76,9/5/17,F,9/17/17,0.3555,12,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,24,40,10/11/17,F,10/23/17,0.3555,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,9,51,7/17/17,F,NA,0.3554,NA,8/6/17,20,N,,,,,,,,,,,,,,
1 to 3,20,72,9/5/17,F,9/17/17,0.3554,12,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,9,1,7/17/17,F,NA,0.3553,NA,8/6/17,20,N,,,,,,,,,,,,,,
1 to 3,10,54,8/3/17,F,8/14/17,0.3552,14,NA,NA,N,,,,,,,,,,,,,,
1 to 3,4,26,5/30/17,F,6/10/17,0.3551,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,34,27,3/12/18,F,NA,0.355,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,12,38,8/8/17,F,8/19/17,0.3549,12,8/30/17,22,N,,,,,,,,,,,,,,
1 to 3,20,31,9/5/17,F,9/20/17,0.3543,15,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,31,52,12/11/17,F,NA,0.3543,NA,1/14/18,34,N,,,,,,,,,,,,,,
1 to 3,21,3,9/6/17,F,9/20/17,0.3542,15,NA,NA,N,,,,,,,,,,,,,,
1 to 3,31,21,12/10/17,F,NA,0.3542,NA,1/11/18,32,N,,,,,,,,,,,,,,
1 to 3,12,1,8/14/17,F,8/26/17,0.354,12,9/6/17,23,N,,,,,,,,,,,,,,
1 to 3,15,25,8/18/17,F,8/29/17,0.354,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,30,5,12/1/17,F,12/14/17,0.354,13,NA,NA,N,,,,,,,,,,,,,,
1 to 3,33,15,2/20/18,F,3/4/18,0.354,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,1,33,5/2/17,F,5/13/17,0.3536,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,28,38,11/27/17,F,12/9/17,0.3536,12,12/21/17,24,N,,,,,,,,,,,,,,
1 to 3,19,50,9/1/17,F,NA,0.3534,NA,9/25/17,24,N,,,,,,,,,,,,,,
1 to 3,7,58,7/3/17,F,7/15/17,0.3531,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,6,4,6/12/17,F,NA,0.353,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,25,3,10/25/17,F,11/7/17,0.353,14,11/17/17,23,N,,,,,,,,,,,,,,
1 to 3,25,61,10/25/17,F,11/8/17,0.353,15,DEAD,NA,N,,,,,,,,,,,,,,
1 to 3,31,37,12/11/17,F,NA,0.3528,NA,1/12/18,32,N,,,,,,,,,,,,,,
1 to 3,25,24,10/25/17,F,11/7/17,0.3524,14,11/18/17,24,N,,,,,,,,,,,,,,
1 to 3,11,50,8/7/17,F,8/19/17,0.3521,13,8/28/17,21,N,,,,,,,,,,,,,,
1 to 3,15,35,8/14/17,F,8/26/17,0.3519,12,9/6/17,23,N,,,,,,,,,,,,,,
1 to 3,10,44,8/3/17,F,8/14/17,0.3519,14,NA,NA,N,,,,,,,,,,,,,,
1 to 3,9,2,7/17/17,F,NA,0.3518,NA,8/6/17,20,N,,,,,,,,,,,,,,
1 to 3,33,7,2/20/18,F,3/4/18,0.3518,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,12,61,8/14/17,F,8/26/17,0.3517,12,9/6/17,23,N,,,,,,,,,,,,,,
1 to 3,23,5,10/3/17,F,NA,0.3516,NA,10/26/17,23,N,,,,,,,,,,,,,,
1 to 3,12,20,8/14/17,F,8/26/17,0.3515,12,9/5/17,22,N,,,,,,,,,,,,,,
1 to 3,15,6,8/14/17,F,8/27/17,0.3515,13,9/6/17,23,N,,,,,,,,,,,,,,
1 to 3,11,57,8/7/17,F,8/19/17,0.3514,13,8/28/17,21,N,,,,,,,,,,,,,,
1 to 3,27,37,11/13/17,F,11/25/17,0.3514,12,12/6/17,23,N,,,,,,,,,,,,,,
1 to 3,12,48,8/14/17,F,8/26/17,0.3513,12,9/6/17,23,N,,,,,,,,,,,,,,
1 to 3,29,37,12/4/17,F,12/16/17,0.3513,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,29,16,12/4/17,F,12/16/17,0.3512,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,26,14,10/30/17,F,11/12/17,0.3511,14,11/22/17,23,N,,,,,,,,,,,,,,
1 to 3,12,46,8/14/17,F,8/26/17,0.351,12,9/6/17,23,N,,,,,,,,,,,,,,
1 to 3,20,57,9/5/17,F,9/19/17,0.351,14,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,4,28,5/30/17,F,6/10/17,0.3508,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,11,17,8/7/17,F,8/21/17,0.3508,15,9/1/17,25,N,,,,,,,,,,,,,,
1 to 3,12,7,8/14/17,F,8/26/17,0.3507,12,9/5/17,22,N,,,,,,,,,,,,,,
1 to 3,29,32,12/4/17,F,12/16/17,0.3506,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,31,47,12/11/17,F,NA,0.3506,NA,1/13/18,33,N,,,,,,,,,,,,,,
1 to 3,1,2,5/2/17,F,5/13/17,0.3505,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,25,12,10/25/17,F,11/8/17,0.3505,15,11/17/17,23,N,,,,,,,,,,,,,,
1 to 3,28,2,11/27/17,F,12/10/17,0.3505,13,12/22/17,25,N,,,,,,,,,,,,,,
1 to 3,20,75,9/5/17,F,9/21/17,0.3504,16,NA,NA,N,,,,,,,,,,,,,,
1 to 3,27,45,11/13/17,F,11/26/17,0.3504,13,12/5/17,22,N,,,,,,,,,,,,,,
1 to 3,27,6,11/13/17,F,11/25/17,0.3503,12,12/5/17,22,N,,,,,,,,,,,,,,
1 to 3,25,16,10/25/17,F,11/8/17,0.3501,15,11/18/17,24,N,,,,,,,,,,,,,,
1 to 3,34,40,3/12/18,F,NA,0.3501,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,12,45,8/14/17,F,8/26/17,0.35,12,9/6/17,23,N,,,,,,,,,,,,,,
1 to 3,28,14,11/27/17,F,12/12/17,0.35,15,NA,NA,N,,,,,,,,,,,,,,
1 to 3,31,48,12/11/17,F,NA,0.35,NA,1/14/18,34,N,,,,,,,,,,,,,,
1 to 3,12,31,8/8/17,F,8/19/17,0.3498,12,8/30/17,22,N,,,,,,,,,,,,,,
1 to 3,14,22,8/14/17,F,8/26/17,0.3497,14,9/2/17,19,N,,,,,,,,,,,,,,
1 to 3,25,6,10/25/17,F,11/6/17,0.3496,13,11/18/17,24,N,,,,,,,,,,,,,,
1 to 3,29,6,12/4/17,F,12/17/17,0.3494,13,NA,NA,N,,,,,,,,,,,,,,
1 to 3,14,75,8/10/17,F,8/21/17,0.3492,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,11,31,8/7/17,F,8/19/17,0.3491,13,8/29/17,22,N,,,,,,,,,,,,,,
1 to 3,17,8,8/28/17,F,NA,0.3491,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,25,48,10/25/17,F,11/8/17,0.3491,15,11/17/17,23,N,,,,,,,,,,,,,,
1 to 3,12,47,8/14/17,F,8/26/17,0.349,12,9/6/17,23,N,,,,,,,,,,,,,,
1 to 3,6,49,6/12/17,F,NA,0.3488,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,34,2,3/12/18,F,NA,0.3487,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,1,18,5/2/17,F,5/13/17,0.3486,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,25,63,10/25/17,F,11/6/17,0.3483,13,11/17/17,23,N,,,,,,,,,,,,,,
1 to 3,28,64,11/27/17,F,12/10/17,0.3483,13,12/22/17,25,N,,,,,,,,,,,,,,
1 to 3,14,4,8/14/17,F,8/26/17,0.3482,14,9/3/17,20,N,,,,,,,,,,,,,,
1 to 3,18,10,8/30/17,F,NA,0.3482,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,28,68,11/27/17,F,12/10/17,0.3478,13,12/22/17,25,N,,,,,,,,,,,,,,
